Tên phim,Link review,Thể loại,Ảnh
Ác Linh Trong Xác Mẹ,https://www.momo.vn/cinema/menjelang-ajal-23871/review,"Chính kịch, Gay cấn, Kinh dị",https://cinema.momocdn.net/img/13903275837826673-fEpViOkfklHX62kp30PzTsMhI7v.jpg
Con Nhót Mót Chồng (Chiếu lại),https://www.momo.vn/cinema/con-nhot-mot-chong-938/review,"Gia đình, Hài",https://cinema.momocdn.net/img/7224213776189013-3.jpg
Chuyện Tôi Và Ma Quỷ Thành Người Một Nhà,https://www.momo.vn/cinema/marry-my-dead-body-967/review,"Bí ẩn, Hài, Hành động",https://cinema.momocdn.net/img/5855239600635478-qHurP5rHZk63ZIcjegKy1M57oC7.jpg
Chị Mười Ba 2: 3 Ngày Sinh Tử,https://www.momo.vn/cinema/sister-thirteen-three-deadly-days-520/review,Hành động,https://homepage.momocdn.net/cinema/momo-cdn-api-220615142505-637908999050228625.jpg
Khóa Chặt Cửa Nào Suzume,https://www.momo.vn/cinema/suzume-no-tojimari-941/review,"Chính kịch, Phiêu lưu, Khoa học - Viễn tưởng, Hoạt hình",https://cinema.momocdn.net/img/1942349943989323-ceYZCBfwbBwSpGJ6PapNVw5jqLG.jpg
Quá Nhanh Quá Nguy Hiểm 10,https://www.momo.vn/cinema/fast-x-920/review,"Gay cấn, Tâm lý, Hình sự, Hành động",https://cinema.momocdn.net/img/b178708a-2106-447e-b984-b9609d886a88-32329717452950876.jpg
Phù Thủy Tối Thượng Trong Đa Vũ Trụ Hỗn Loạn,https://www.momo.vn/cinema/doctor-strange-in-the-multiverse-of-madness-632/review,"Siêu anh hùng, Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142915-637909001556249236.jpg
Ngược Dòng Thời Gian Để Yêu Anh,https://www.momo.vn/cinema/love-destiny-the-movie-817/review,"Khoa học - Viễn tưởng, Hài, Lãng mạn",https://cinema.momocdn.net/img/82194897270870863-2j1UQprTqpMdhJ8sImpfr8BSNNN.jpg
Thiếu Niên và Chim Diệc,https://www.momo.vn/cinema/the-boy-and-the-heron-23691/review,"Chính kịch, Phiêu lưu, Khoa học - Viễn tưởng, Hoạt hình",https://cinema.momocdn.net/img/25272034337597416-zw8xr67ForpLerzMSlZOFKXRhnc.jpg
Transformers: Quái Thú Trỗi Dậy,https://www.momo.vn/cinema/transformers-rise-of-the-beasts-880/review,"Phiêu lưu, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/ebcb88b3-6989-4307-9a54-4ff5b52594d4-67601186649801711.jpg
"Đào, Phở và Piano",https://www.momo.vn/cinema/dao-pho-va-piano-23753/review,"Chiến tranh, Chính kịch",https://cinema.momocdn.net/img/33735631559049367-wSjBvmoPrBNU65ifOWorsa5N1oo.jpg
Vùng Đất Câm Lặng: Ngày Một,https://www.momo.vn/cinema/a-quiet-place-day-one-23826/review,"Gay cấn, Kinh dị, Khoa học - Viễn tưởng",https://cinema.momocdn.net/img/59074297078901601-1XyIHrP7X7rn3UBkNy9hPb9vCUf.jpg
Kẻ Ẩn Danh,https://www.momo.vn/cinema/ke-an-danh-23568/review,"Chính kịch, Gia đình, Hài",https://cinema.momocdn.net/img/12751596225287694-kad17s590696-16866296381192068201202.jpg
Furiosa: Câu Chuyện Từ Max Điên,https://www.momo.vn/cinema/furiosa-a-mad-max-saga-23721/review,"Gay cấn, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/28296105441981777-tWMDdYvM22RZ1tk40fseAH0uMZs.jpg
Wonka,https://www.momo.vn/cinema/wonka-23692/review,"Gia đình, Khoa học - Viễn tưởng, Hài",https://cinema.momocdn.net/img/25290778447985701-oyK2a8tMn6cmzilaUmKWYqNXzay.jpg
The Moon: Nhiệm Vụ Cuối Cùng,https://www.momo.vn/cinema/the-moon-23592/review,"Phiêu lưu, Khoa học - Viễn tưởng",https://cinema.momocdn.net/img/15589703804107867-pLwIQMNT4s2DbyftxR5LY390Gkc.jpg
Những Gã Trai Hư: Chơi Hay Bị Xơi,https://www.momo.vn/cinema/bad-boys-ride-or-die-23827/review,"Gay cấn, Hình sự, Hành động",https://cinema.momocdn.net/img/59073974781489933-JtN7Q03S3oq7A4KZ7Z3I7m3osP.jpg
Vây Hãm Trên Không,https://www.momo.vn/cinema/hijack-1971-23867/review,"Gay cấn, Hình sự, Hành động",https://cinema.momocdn.net/img/96411791450331019-zHoEGiZ8webTnaPlNB7DmxAJ14B.jpg
Transformers Một,https://www.momo.vn/cinema/transformers-one-23837/review,"Gia đình, Phiêu lưu, Khoa học - Viễn tưởng, Hành động, Hoạt hình",https://cinema.momocdn.net/img/59079173769521049-tOtlWHAsjVEf0KpHEPj6QS504d0.jpg
Kumanthong: Chiêu Hồn Vong Nhi,https://www.momo.vn/cinema/black-magic-baby-24052/review,Kinh dị,https://cinema.momocdn.net/img/65847713776226792-Capture-2024-10-01-121543.png
Doraemon: Nobita và Vùng Đất Lý Tưởng Trên Bầu Trời,https://www.momo.vn/cinema/doraemon-movie-42-nobita-to-sora-no-utopia-981/review,"Phiêu lưu, Hoạt hình",https://cinema.momocdn.net/img/11990971881275636-36dc5267-5412-4ca1-8c4e-d4c3c05e9461-67608546386201736.jpg
Chuyện Ma Gần Nhà,https://www.momo.vn/cinema/vietnamese-horror-story-615/review,"Ma, Kinh dị, Hài",https://homepage.momocdn.net/cinema/momo-cdn-api-220615142820-637909001006452760.jpg
Vùng Đất Linh Hồn,https://www.momo.vn/cinema/sprited-away-24191/review,"Gia đình, Giả tưởng, Hoạt hình",https://image.tmdb.org/t/p/w780/m4TUa2ciEWSlk37rOsjiSIvZDXE.jpg
Đôi Bạn Học Yêu,https://www.momo.vn/cinema/love-in-the-big-city-24092/review,"Chính kịch, Lãng mạn",https://cinema.momocdn.net/img/51156516328925045-wzPXobZA8yNd4zUPdFHcoPQEu3D.jpg
Bẫy Ngọt Ngào,https://www.momo.vn/cinema/naked-truth-470/review,"Gay cấn, Lãng mạn",https://cinema.momocdn.net/img/ac123b0d-1659-446b-b381-65af038aafdd-11636116927911798.png
Mufasa: Vua Sư Tử,https://www.momo.vn/cinema/mufasa-the-lion-king-23840/review,"Gia đình, Âm Nhạc, Phiêu lưu, Hoạt hình",https://cinema.momocdn.net/img/59079681082148167-mxfsf20XYMKA8zcyhO4VuT1z0GS.jpg
Hành Tinh Khỉ: Vương Quốc Mới,https://www.momo.vn/cinema/kingdom-of-the-planet-of-the-apes-23705/review,"Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/25901084249047144-uLhWh1pggjIiQ1DpL0DvaIgERQR.jpg
Tà Chú Cấm,https://www.momo.vn/cinema/home-for-rent-1008/review,"Gay cấn, Ma, Kinh dị",https://cinema.momocdn.net/img/4f12d3d9-7507-4fed-b327-45c86eb5f1c1-67607586438734213.jpg
Kẻ Kiến Tạo,https://www.momo.vn/cinema/the-creator-23564/review,"Gay cấn, Khoa học - Viễn tưởng, Hành động",https://cinema.momocdn.net/img/12762105400945883-xMzru4uhEvV3khOG3efQ16Vhhyk.jpg
Mật Mã Đỏ,https://www.momo.vn/cinema/red-one-24064/review,"Giả tưởng, Hài, Hành động",https://cinema.momocdn.net/img/50914060058486084-AumF0W5W50BZESZFZFOI2syebcf.jpg
Garfield - Mèo Béo Siêu Quậy,https://www.momo.vn/cinema/the-garfield-movie-23720/review,"Gia đình, Hài, Hoạt hình",https://cinema.momocdn.net/img/57689482849185646-rg6vsCGzhNl91q8x4b51e53Te2Y.jpg
